Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Week Total,End Date
0,0,85,130,170,250,0,635,7/27/2014
0,0,130,188.31,45,250,0,613.31,8/3/2014
0,0,27.25,0,51.28,138.58,0,217.11,8/10/2014
0,0,0,136.72,30.17,158.68,0,325.57,8/17/2014
0,0,83.82,170.24,66.77,158.72,0,479.55,8/24/2014
0,0,60.43,388.16,59,137.84,0,645.43,8/31/2014
0,0,60,0,72.64,290.52,0,423.16,9/7/2014
0,0,121.44,203.88,200.82,97.2,0,623.34,9/14/2014
0,0,0,0,739.53,56.4,0,795.93,9/21/2014
0,0,25,47.29,83.35,320.27,0,475.91,9/28/2014
0,0,190,0,609.34,26.25,0,825.59,10/5/2014
0,0,339.49,71.05,180.63,427.33,0,1018.5,10/12/2014
0,0,67.86,752.86,263.52,420.54,0,1504.78,10/19/2014
0,0,151.3,30.51,116.68,20.5,0,318.99,10/26/2014
0,0,10.25,84.49,193.59,258.65,0,546.98,11/2/2014
0,0,477.74,82.75,104.04,283.44,0,947.97,11/9/2014
0,0,121.73,0,93.72,185.95,0,401.4,11/16/2014
0,0,271.97,47.21,322.42,200,0,841.6,11/23/2014
0,0,516,0,70.16,256.71,0,842.87,11/30/2014
0,0,84.59,190,202.63,320.55,0,797.77,12/7/2014
0,0,235.83,137.95,143.42,208.03,0,725.23,12/14/2014
0,0,350.32,42.91,373.23,0,0,766.46,12/21/2014
0,0,0,0,0,314.29,0,314.29,12/28/2014
0,0,88.32,0,191.3,122.57,0,402.19,1/4/2015
0,0,0,40.41,40,100,0,180.41,1/11/2015
0,0,74.49,24.69,583.58,290.57,0,973.33,1/18/2015
0,0,242.02,76.63,216.64,100,0,635.29,1/25/2015
