Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Week Total,End Date
190.21,303.62,338.87,328.22,555.69,424.15,329.11,2469.87,8/28/2015
237.78,126.03,315.96,383.09,583.61,241.22,435.74,2323.43,9/4/2015
0,255.99,331.53,360.65,737.33,447.66,365.41,2498.57,9/11/2015
179.05,251.97,270.12,212.4,531.8,495.24,248.6,2189.18,9/18/2015
89.76,338.94,125.46,322.93,573.12,424.75,224.57,2099.53,9/25/2015
103.94,267.28,124.17,257.92,351.47,425.64,262.12,1792.54,10/2/2015
62.82,92.51,306.36,335.36,836.44,250.68,0,1884.17,10/9/2015
0,143.08,105.52,199.04,621.43,202.57,146.11,1417.75,10/16/2015
157.15,188.2,141.74,201.46,444.23,359.66,287.12,1779.56,10/23/2015
85.76,118.72,360.2,154.77,572.15,351.37,271.44,1914.41,10/30/2015
257.84,24.78,231.41,116.39,441.51,420.85,226.15,1718.93,11/6/2015
193.56,117.64,87.6,188.46,591.44,248.58,178.8,1606.08,11/13/2015
105.2,166.68,193.05,380.2,432.59,399.26,114.51,1791.49,11/20/2015
110.56,152.98,162.15,271.71,415.71,405.58,272.73,1791.42,11/27/2015
173.23,37.12,216.44,145.4,577.49,547.5,273.56,1970.74,12/4/2015
82.56,163,113.97,344.64,609.83,273.33,235.12,1822.45,12/11/2015
109.85,181.43,269.54,293.75,608.12,470.52,93.83,2027.04,12/18/2015
104.99,111.16,307.54,160.34,626.63,0,0,1310.66,12/25/2015
0,0,109.04,244.18,315.17,284.32,114.7,1067.41,1/1/2015
121.76,85.33,78.63,279.87,275.15,366.23,98.25,1305.22,1/8/2015
20.1,199.51,91.13,288.84,173.4,425.14,159.05,1357.17,1/15/2015
100,138.71,111.21,243.97,333.99,193.74,175.23,1296.85,1/22/2015
24.3,227.98,214.17,155.85,399.49,400.25,194.73,1616.77,1/29/2015
77.7,156.88,128.99,153.06,570.56,231.42,219.9,1538.51,2/5/2015
157.98,80.43,94.1,182.54,523.3,358,43.28,1439.63,2/12/2015
83.92,241.41,153.08,386.93,290.08,318.72,214.78,1688.92,2/19/2015
243.89,139.75,250.92,119.48,593.01,200.06,301.51,1848.62,2/26/2015
46.77,104.82,88.2,116.54,280.13,557.13,92.97,1286.56,3/4/2015
121.01,177.98,287.19,90.89,489.39,344.84,337.11,1848.41,3/11/2015
59.87,248.46,330.91,332.07,417.31,402.62,226.78,2018.02,3/18/2015
153.2,179.16,142.61,283.05,479.83,474.71,212.9,1925.46,3/25/2015
109.06,187.96,272.99,350.75,857.82,373.37,289.95,2441.9,4/1/2015
38.47,320.08,146.12,417.08,267.98,175.57,0,1365.3,4/8/2015
246.38,138.8,201.75,445.72,654.68,374.62,353.51,2415.46,4/15/2015
0,140.46,190.34,255.65,716.67,426.31,138.29,1867.72,4/22/2015
83.33,273.9,140.66,248.98,593.78,488.15,239.8,2068.6,4/29/2015
148.53,197.27,195,346.36,514.36,343.83,185.01,1930.36,5/6/2015
78.37,210.64,159.04,114.14,493.56,476.41,265.37,1797.53,5/13/2015
161.52,268.2,161.91,182.78,544.31,310.86,255.72,1885.3,5/20/2015
402.88,194.57,134.22,234.46,747.68,326.91,192,2232.72,5/27/2015
87.24,205.25,257.63,309.79,695.9,253.33,261.72,2070.86,6/3/2015
123.05,270.82,185.34,353.29,671.91,376.76,181.52,2162.69,6/10/2015
166.37,289.76,249.45,269.44,566.57,417.9,350.61,2310.1,6/17/2015
50.19,157.37,129.59,431.18,679.5,351.45,104.04,1903.32,6/24/2015
77.49,75.67,194.02,395.63,605.35,204.95,0,1553.11,7/1/2015
118.52,232.9,238.9,409.87,532.37,396.05,124.39,2053,7/8/2015
80.1,241.03,153.74,373.11,483.59,424.8,174.36,1930.73,7/15/2015
159.22,200.11,160.5,316.23,315.67,469.59,151.26,1772.58,7/22/2015
102.48,303.97,429.27,338.4,329.67,566.39,260.04,2330.22,7/29/2015
97.1,290.94,195.82,192.75,432.68,424.77,281.27,1915.33,8/5/2015
201.95,181.28,264.54,222.02,258.66,215.6,79.75,1423.8,8/12/2015
172.16,394.97,216.45,208.72,486.64,302.56,95.96,1877.46,8/19/2015
195.33,124.21,190.72,314.01,501.4,270.64,407.15,2003.46,8/26/2015
252.47,271.54,293.23,316.83,316.18,422.36,270.89,2143.5,9/2/2015
160.76,149.62,222.01,328.64,486.53,393.49,263.16,2004.21,9/9/2015
82.58,88.02,93.17,138.09,475.77,261.89,265.05,1404.57,9/16/2015
164.09,190.5,227.7,259.98,553.98,699.29,301,2396.54,9/23/2015
93.89,150.24,221.14,343.86,929.87,443.75,216.33,2399.08,9/30/2015
74.3,106,246.43,197.09,831.68,476.76,0,1932.26,10/7/2015
0,0,281.53,180.22,552.41,396.58,276.46,1687.2,10/14/2015
192.28,263.45,202.46,244.5,808.45,582.66,216.85,2510.65,10/21/2015
127.18,221.26,83.93,208.56,622.94,666.43,285.64,2215.94,10/28/2015
200.52,74.04,632.57,238.21,899.29,698.28,170.23,2913.14,11/4/2015
123.01,153.41,186.58,317.72,810.2,347.3,184.77,2122.99,11/11/2015
146.07,220.91,288.44,296.74,540.68,763.77,268.42,2525.03,11/18/2015
112.77,284.24,212.96,225.23,849,451.14,243.41,2378.75,11/25/2015
92.6,430.48,235.14,381.89,625.24,527.69,130.62,2423.66,12/2/2015
136.95,113.4,382.66,355.45,400.33,325.21,207,1921,12/9/2015
112.84,104.75,162.48,269.57,842.31,639.03,389.92,2520.9,12/16/2015
143.85,258.38,165.33,364.62,706.64,592.83,490.26,2721.91,12/23/2015
0,0,0,172.34,617.85,445.07,398.03,1633.29,12/30/2015
438.3,0,185.09,246.07,544.5,479.21,194.77,2087.94,1/6/2015
74.42,192.67,135.23,284.9,599.98,833.72,222.84,2343.76,1/13/2015
176.11,169.84,218.11,171.87,457.74,884.93,358.46,2437.06,1/20/2015
306.52,142.33,198.7,304.2,829.08,431.83,292.59,2505.25,1/27/2015
0,185.71,148.51,171.05,822.63,349.69,629.69,2307.28,2/3/2015
73.79,89.1,182.32,294.77,695.32,719.15,247,2301.45,2/10/2015
40.51,49.73,223.57,430.15,772.61,535.61,499.02,2551.2,2/17/2015
268.77,146.79,135.27,114.24,899.19,644.79,123,2332.05,2/24/2015
55.09,121.63,260.36,337.72,720.05,721.79,487.09,2703.73,3/3/2015
27,310.99,285.61,261.99,821.08,458.47,478.53,2643.67,3/10/2015
68.03,0,301.14,320.23,864.1,172.44,451.1,2177.04,3/17/2015
76.07,284.17,184.25,266.64,791.59,409.85,283.63,2296.2,3/24/2015
186.16,227.37,219.19,598.99,775.13,408.33,0,2415.17,3/31/2015
139.61,372.3,203.14,345.74,1001.41,438.85,314.71,2815.76,4/7/2015
228.72,155.2,203.17,268.89,1058.56,730.6,394.6,3039.74,4/14/2015
