"","Deepdish.Deal","Extra.Large.Pizza","Family.Deal","Game.Night.Deal","Garlic.Bread","Garlic.Bread.with.Cheese","Large.Deepdish.Pizza","Large.Garlic.Bread","Large.Garlic.Bread.with.Cheese","Large.Pizza","Medium.Deepdish","Medium.Pizza","Personal.Pizza","Two.Extra.Large.Pizza","Two.Large.Pizza.Deal","Two.Med.Pizza.Deal"
"1",1,2,1,0,0,5,7,1,4,14,5,21,8,1,3,5
"8",1,1,0,0,0,1,6,1,2,14,4,3,3,2,5,2
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,2,6,0,2,8,0,4,8,3,9,1,0,2,10
"29",0,2,0,0,1,5,9,0,2,10,3,9,3,1,5,6
"36",0,5,2,0,1,2,5,0,7,6,5,10,5,2,4,5
"43",0,3,1,1,1,3,8,0,2,10,3,8,6,3,2,3
"50",2,1,2,0,0,1,6,0,1,4,2,10,5,0,6,10
"57",2,1,1,1,0,1,6,0,1,16,4,8,10,0,2,8
"64",2,1,1,1,1,6,5,0,3,10,3,7,2,3,5,3
"71",0,2,0,1,2,0,4,1,3,4,3,6,5,0,4,6
"78",0,2,1,1,0,2,4,0,2,5,6,6,2,1,4,5
"85",1,2,0,1,1,1,3,1,4,7,3,5,5,0,4,7
"92",0,2,3,2,1,2,10,0,2,7,5,3,3,0,1,2
"99",3,2,1,0,0,5,5,1,6,12,6,6,5,3,3,5
"106",0,1,3,1,2,4,8,1,4,10,9,6,5,1,5,6
"113",5,5,1,1,0,4,17,2,3,7,15,5,5,2,5,6
"120",1,2,4,1,2,2,14,0,4,9,12,8,7,2,5,7
"127",6,2,1,1,0,5,11,0,4,8,7,12,3,0,2,5
"134",3,0,1,0,0,6,15,0,5,9,6,6,9,0,4,7
"141",4,7,0,1,0,5,20,0,2,8,13,10,5,2,4,6
"148",3,2,3,0,1,1,12,0,0,15,13,10,3,7,4,3
"23",2.20296189134068,2.67048049379361,1.69908678196162,1.33447922162632,0.860238223471228,3.59118347786451,10.1060946791539,0.576816118253538,3.60961141451425,10.2000277891137,7.38919609093754,9.14067683944913,5.45631878339494,1.97903330720638,4.15311904142616,6.22664419493719
