"","Deepdish.Deal","Extra.Large.Pizza","Family.Deal","Game.Night.Deal","Garlic.Bread","Garlic.Bread.with.Cheese","Large.Deepdish.Pizza","Large.Garlic.Bread","Large.Garlic.Bread.with.Cheese","Large.Pizza","Medium.Deepdish","Medium.Pizza","Personal.Pizza","Two.Extra.Large.Pizza","Two.Large.Pizza.Deal","Two.Med.Pizza.Deal"
"2",0,1,1,0,0,1,4,0,1,4,3,6,4,0,4,4
"9",0,2,0,0,0,0,2,0,1,4,0,4,1,1,1,2
"16",2,4,0,2,0,2,7,0,4,12,3,15,2,4,6,6
"23",0,0,0,1,1,3,3,0,1,6,1,3,1,2,2,2
"30",1,1,0,1,0,3,1,0,3,8,2,3,4,0,2,3
"37",1,1,2,1,1,2,2,0,1,4,6,2,3,1,0,3
"44",0,2,0,1,0,1,3,0,0,5,2,4,1,1,0,3
"51",1,1,1,1,0,0,5,0,3,4,1,2,3,3,7,7
"58",1,1,1,0,0,0,3,0,2,5,0,4,3,0,4,6
"65",0,2,3,0,0,2,4,0,0,5,1,5,3,1,1,0
"72",0,4,0,1,0,4,4,0,1,4,0,8,1,0,1,3
"79",2,1,1,0,0,2,5,0,3,11,3,4,3,1,4,2
"86",0,1,1,1,1,2,2,0,2,4,2,4,2,2,2,1
"93",1,2,0,1,0,1,4,0,0,6,3,2,1,1,6,5
"100",0,1,1,0,0,1,2,1,1,7,1,0,6,0,1,1
"107",0,1,1,0,0,2,4,0,2,6,6,4,0,0,3,3
"114",4,0,2,0,1,2,4,0,0,4,7,3,13,0,1,2
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2,1,1,2,0,1,10,0,4,8,5,4,1,3,1,1
"135",0,1,2,0,0,2,10,0,2,8,4,4,2,0,3,7
"142",1,1,1,0,2,1,8,0,5,9,6,6,5,0,2,3
"149",0,3,1,3,1,1,5,1,3,8,5,1,2,1,4,5
"23",1.10586017463708,1.81191112359066,1.16943544398898,0.989516653603191,0.526523800961505,1.88808685273581,5.14006362612113,0.198856855792115,2.31488948145105,6.99347137814458,3.59642601540884,5.13781245629235,3.78493545339439,1.38532331504447,3.24885722755974,3.906697825602
