Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
190.21,303.62,338.87,328.22,555.69,424.15,329.11
237.78,126.03,315.96,383.09,583.61,241.22,435.74
0,255.99,331.53,360.65,737.33,447.66,365.41
179.05,251.97,270.12,212.4,531.8,495.24,248.6
89.76,338.94,125.46,322.93,573.12,424.75,224.57
103.94,267.28,124.17,257.92,351.47,425.64,262.12
62.82,92.51,306.36,335.36,836.44,250.68,0
0,143.08,105.52,199.04,621.43,202.57,146.11
157.15,188.2,141.74,201.46,444.23,359.66,287.12
85.76,118.72,360.2,154.77,572.15,351.37,271.44
257.84,24.78,231.41,116.39,441.51,420.85,226.15
193.56,117.64,87.6,188.46,591.44,248.58,178.8
105.2,166.68,193.05,380.2,432.59,399.26,114.51
110.56,152.98,162.15,271.71,415.71,405.58,272.73
173.23,37.12,216.44,145.4,577.49,547.5,273.56
82.56,163,113.97,344.64,609.83,273.33,235.12
109.85,181.43,269.54,293.75,608.12,470.52,93.83
104.99,111.16,307.54,160.34,626.63,0,0
0,0,109.04,244.18,315.17,284.32,114.7
121.76,85.33,78.63,279.87,275.15,366.23,98.25
20.1,199.51,91.13,288.84,173.4,425.14,159.05
100,138.71,111.21,243.97,333.99,193.74,175.23
24.3,227.98,214.17,155.85,399.49,400.25,194.73
77.7,156.88,128.99,153.06,570.56,231.42,219.9
157.98,80.43,94.1,182.54,523.3,358,43.28
83.92,241.41,153.08,386.93,290.08,318.72,214.78
243.89,139.75,250.92,119.48,593.01,200.06,301.51
46.77,104.82,88.2,116.54,280.13,557.13,92.97
121.01,177.98,287.19,90.89,489.39,344.84,337.11
59.87,248.46,330.91,332.07,417.31,402.62,226.78
153.2,179.16,142.61,283.05,479.83,474.71,212.9
109.06,187.96,272.99,350.75,857.82,373.37,289.95
38.47,320.08,146.12,417.08,267.98,175.57,0
246.38,138.8,201.75,445.72,654.68,374.62,353.51
0,140.46,190.34,255.65,716.67,426.31,138.29
83.33,273.9,140.66,248.98,593.78,488.15,239.8
148.53,197.27,195,346.36,514.36,343.83,185.01
78.37,210.64,159.04,114.14,493.56,476.41,265.37
161.52,268.2,161.91,182.78,544.31,310.86,255.72
402.88,194.57,134.22,234.46,747.68,326.91,192
87.24,205.25,257.63,309.79,695.9,253.33,261.72
123.05,270.82,185.34,353.29,671.91,376.76,181.52
166.37,289.76,249.45,269.44,566.57,417.9,350.61
50.19,157.37,129.59,431.18,679.5,351.45,104.04
77.49,75.67,194.02,395.63,605.35,204.95,0
118.52,232.9,238.9,409.87,532.37,396.05,124.39
80.1,241.03,153.74,373.11,483.59,424.8,174.36
159.22,200.11,160.5,316.23,315.67,469.59,151.26
102.48,303.97,429.27,338.4,329.67,566.39,260.04
97.1,290.94,195.82,192.75,432.68,424.77,281.27
201.95,181.28,264.54,222.02,258.66,215.6,79.75
172.16,394.97,216.45,208.72,486.64,302.56,95.96
195.33,124.21,190.72,314.01,501.4,270.64,407.15
252.47,271.54,293.23,316.83,316.18,422.36,270.89
160.76,149.62,222.01,328.64,486.53,393.49,263.16
82.58,88.02,93.17,138.09,475.77,261.89,265.05
164.09,190.5,227.7,259.98,553.98,699.29,301
93.89,150.24,221.14,343.86,929.87,443.75,216.33
74.3,106,246.43,197.09,831.68,476.76,0
0,0,281.53,180.22,552.41,396.58,276.46
192.28,263.45,202.46,244.5,808.45,582.66,216.85
127.18,221.26,83.93,208.56,622.94,666.43,285.64
200.52,74.04,632.57,238.21,899.29,698.28,170.23
123.01,153.41,186.58,317.72,810.2,347.3,184.77
146.07,220.91,288.44,296.74,540.68,763.77,268.42
112.77,284.24,212.96,225.23,849,451.14,243.41
92.6,430.48,235.14,381.89,625.24,527.69,130.62
136.95,113.4,382.66,355.45,400.33,325.21,207
112.84,104.75,162.48,269.57,842.31,639.03,389.92
143.85,258.38,165.33,364.62,706.64,592.83,490.26
0,0,0,172.34,617.85,445.07,398.03
438.3,0,185.09,246.07,544.5,479.21,194.77
74.42,192.67,135.23,284.9,599.98,833.72,222.84
